Country,Type,Disaster_Count,Deaths
Philippines,Epidemic,22,2627
Philippines,Flood,152,3670
Philippines,Insect infestation,2,0
Philippines,Landslide,31,2451
Philippines,Mass movement (dry),3,361
Philippines,Storm,370,49805
Philippines,Volcanic activity,28,2997
Philippines,Wildfire,1,2
Poland,Drought,1,0
Poland,Earthquake,1,0
Poland,Extreme temperature,19,2085
Poland,Flood,15,115
Poland,Storm,19,143
Poland,Wildfire,2,35
Portugal,Drought,3,0
Portugal,Earthquake,2,32
Portugal,Extreme temperature,6,3199
Portugal,Flood,14,597
Portugal,Storm,11,53
Portugal,Wildfire,14,206
Puerto Rico,Drought,1,0
Puerto Rico,Earthquake,3,120
Puerto Rico,Flood,8,583
Puerto Rico,Landslide,2,126
Puerto Rico,Storm,23,645
Qatar,Flood,1,0
Réunion,Epidemic,1,0
Réunion,Landslide,1,10
Réunion,Storm,11,229
Réunion,Volcanic activity,1,0
Romania,Drought,2,0
Romania,Earthquake,11,2630
Romania,Epidemic,3,0
Romania,Extreme temperature,20,531
Romania,Flood,52,1718
Romania,Landslide,1,0
Romania,Storm,11,59
Russia,Drought,5,0
Russia,Earthquake,10,2019
Russia,Epidemic,10,33
Russia,Extreme temperature,21,57914
Russia,Flood,66,825
Russia,Impact,1,0
Russia,Insect infestation,1,0
Russia,Landslide,9,474
Russia,Storm,21,228
Russia,Wildfire,24,169
Rwanda,Drought,6,237
Rwanda,Earthquake,2,81
Rwanda,Epidemic,12,322
Rwanda,Flood,23,444
Rwanda,Landslide,5,117
Rwanda,Storm,2,3
Saint Barthélemy,Storm,1,4
"Saint Helena, Ascension and Tristan da Cunha",Storm,1,0
Saint Kitts and Nevis,Flood,1,0
Saint Kitts and Nevis,Storm,9,6
Saint Lucia,Drought,1,0
Saint Lucia,Earthquake,1,0
Saint Lucia,Epidemic,1,0
Saint Lucia,Flood,2,6
Saint Lucia,Landslide,1,0
Saint Lucia,Storm,14,38
